"statement or perception","women","women","women","men","men","men","total","total","total"
"statement or perception","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"statement or perception","percent","from","to","percent","from","to","percent","from","to"
"people should be able to express their gender however they choose","","","","","","","","",""
"agree or strongly agree","82","78","85","78","74","82","80","76","83"
"neither agree nor disagree","13","10","16","15","12","19","14","11","17"
"disagree or strongly disagree","5","3","7","7","5","8","6","5","7"
"there are significant obstacles that make it harder for women to get ahead than men","","","","","","","","",""
"agree or strongly agree","65","62","67","56","51","61","60","58","63"
"neither agree nor disagree","20","17","23","25","22","28","22","20","25"
"disagree or strongly disagree","15","12","17","19","16","22","17","15","19"
"people who report sexual assault are almost always telling the truth","","","","","","","","",""
"agree or strongly agree","64","61","68","52","49","55","58","55","61"
"neither agree nor disagree","25","22","29","31","28","34","28","26","31"
"disagree or strongly disagree","10","8","13","16","14","19","13","11","15"
"violence between partners can be excused if people get so angry they lose control","","","","","","","","",""
"agree or strongly agree","12","10","15","15","13","19","14","12","16"
"neither agree nor disagree","8","6","12","11","9","15","10","8","13"
"disagree or strongly disagree","79","75","82","73","68","77","76","73","79"
"it is understandable that someone would react violently if they suspect their partner of having an affair","","","","","","","","",""
"agree or strongly agree","22","19","25","26","23","29","24","21","27"
"neither agree nor disagree","15","12","18","17","14","21","16","14","18"
"disagree or strongly disagree","63","60","66","57","52","61","60","57","62"
"if a family member of mine came out as transgender, i would not be able to support them","","","","","","","","",""
"agree or strongly agree","9","6","12","9","7","12","9","7","11"
"neither agree nor disagree","10","8","13","16","13","20","13","11","16"
"disagree or strongly disagree","80","76","84","74","71","77","77","74","80"
"people have the right to check who their partner has been calling or texting at all times","","","","","","","","",""
"agree or strongly agree","20","18","23","20","17","22","20","18","22"
"neither agree nor disagree","20","17","22","23","20","26","21","19","24"
"disagree or strongly disagree","59","56","63","57","54","60","58","56","61"
"same-sex and opposite-sex couples should have the same rights to adopt children","","","","","","","","",""
"agree or strongly agree","81","78","84","74","70","78","77","74","80"
"neither agree nor disagree","11","9","14","14","11","18","13","10","16"
"disagree or strongly disagree","7","5","9","11","9","14","9","8","11"
