"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"tottenham hotspur","1900-01","southern league first division","1","0","0","0","1","1","2","1"
"tottenham hotspur","1901-02","southern league first division","2","0","0","0","1","2","3","2"
"tottenham hotspur","1902-03","southern league first division","12","4","4","3","3","0","19","7"
"tottenham hotspur","1903-04","southern league first division","17","10","4","1","6","2","27","13"
"tottenham hotspur","1904-05","southern league first division","20","7","4","0","2","0","26","7"
"tottenham hotspur","1905-06","southern league first division","12","5","3","1","1","2","16","8"
"tottenham hotspur","1906-07","southern league first division","20","7","3","0","0","0","23","7"
"tottenham hotspur","1907-08","southern league first division","20","10","1","0","1","0","22","10"
"tottenham hotspur","1908-09","second division","27","18","4","0","-","-","31","18"
"tottenham hotspur","total","total","131","61","23","5","15","7","169","73"
"chelsea","1909-10","first division","13","5","2","0","-","-","15","5"
"chelsea","1910-11","second division","19","6","3","3","-","-","22","9"
"chelsea","1911-12","second division","14","2","0","0","-","-","14","2"
"chelsea","1912-13","first division","27","10","3","1","-","-","30","11"
"chelsea","1913-14","first division","27","4","2","0","-","-","29","4"
"chelsea","1914-15","first division","6","3","0","0","-","-","6","3"
"chelsea","total","total","106","30","10","4","-","-","116","34"
"career total","career total","career total","237","91","33","9","15","7","285","107"
