"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"acassuso","2011-12","primera b metropolitana","32","4","0","0","-","-","32","4","none","none"
"acassuso","2012-13","primera b metropolitana","11","1","0","0","-","-","11","1","none","none"
"acassuso","2013-14","primera b metropolitana","14","0","0","0","-","-","14","0","none","none"
"acassuso","2014","primera b metropolitana","21","4","0","0","-","-","21","4","none","none"
"acassuso","total","total","78","9","0","0","-","-","78","9","none","none"
"colon","2015","primera division","20","5","0","0","-","-","20","5","none","none"
"argentinos juniors","2016","primera division","13","1","0","0","-","-","13","1","none","none"
"argentinos juniors","2016-17","primera b nacional","42","15","2","1","-","-","44","16","none","none"
"argentinos juniors","2017-18","primera division","11","5","0","0","-","-","11","5","none","none"
"argentinos juniors","total","total","66","21","2","1","-","-","68","22","none","none"
"independiente","2017-18","primera division","7","1","0","0","2","0","-","-","9","1"
"independiente","2018-19","primera division","12","3","2","0","2","0","-","-","16","3"
"independiente","total","total","19","4","2","0","4","0","-","-","25","4"
"athletico paranaense","2019","serie a","0","0","0","0","3","0","-","-","3","0"
"career total","career total","career total","183","39","4","1","7","0","0","0","194","40"
