"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield united","2014-15","league one","10","0","0","0","2","2","1","1","13","3"
"sheffield united","2015-16","league one","36","11","2","0","2","0","1","1","41","12"
"sheffield united","2016-17","league one","1","0","-","-","1","0","none","none","none","none"
"sheffield united","total","total","47","11","2","0","4","2","2","2","55","15"
"birmingham city","2016-17","championship","40","7","2","0","0","0","-","-","42","7"
"birmingham city","2017-18","championship","30","5","2","1","1","3","-","-","33","9"
"birmingham city","2018-19","championship","45","22","1","0","1","0","-","-","47","22"
"birmingham city","total","total","115","34","5","1","2","3","-","-","122","38"
"career total","career total","career total","162","45","7","1","6","5","2","2","177","53"
