"detailed motivation","accused","sex","sex","age"
"detailed motivation","accused","male","female","age"
"detailed motivation","number","percent","percent","median"
"race/ethnicity","2,094","84","16","26"
"black","809","83","17","24"
"east or southeast asian","182","85","15","28"
"south asian","214","86","14","29"
"arab or west asian","306","84","16","35"
"indigenous","107","86","14","25"
"white","120","75","25","23"
"other or not specified","356","88","12","23"
"religion","874","89","11","32"
"jewish","347","92","8","24"
"muslim","304","87","13","43"
"catholic","66","94","6","22"
"other or not specified","157","85","15","25"
"sexual orientation","710","90","10","23"
"total","4,073","86","14","26"
