"field and years since doctorate","total","in labor force","in labor force","in labor force","in labor force","in labor force","not in labor force","not in labor force","not in labor force"
"field and years since doctorate","total","all","working for pay or profit","working for pay or profit","working for pay or profit","unemployeda","all","retired","not working, not seeking work"
"field and years since doctorate","total","all","all working","full time","part time","unemployeda","all","retired","not working, not seeking work"
"all u.s. seh doctorate holders","805500","88.1","86","76.1","9.9","2.1","11.9","10","1.9"
"field of doctorate","","","","","","","","",""
"biological, agricultural, and environmental life sciences","201800","89","87.1","79.6","7.5","2","11","8.4","2.6"
"computer and information sciences","20000","97","95","88.5","6.5","2","3","2","1"
"mathematics and statistics","38200","85.1","83.8","75.4","8.1","1.3","15.2","13.1","1.8"
"physical sciences","145900","85.3","82.3","74.6","7.7","2.9","14.7","13.2","1.5"
"psychology","116700","89.3","87.7","66.2","21.6","1.5","10.7","8.3","2.4"
"social sciences","103600","85.6","84","73.3","10.7","1.6","14.4","12.6","1.7"
"engineering","143800","89.8","87.3","81.3","6.1","2.5","10.2","9","1.2"
"health","35500","89.6","87.9","76.9","11.3","1.7","10.4","8.5","1.7"
"years since doctorate","","","","","","","","",""
"2 years or less","61200","97.4","95.1","89.4","5.9","2.1","2.8","d","2.6"
"3-5 years","82100","97.2","95.2","89.2","6.1","1.9","2.8","0.1","2.7"
"6-10 years","113500","96.8","95.2","87.6","7.7","1.6","3.2","0.7","2.5"
"11-15 years","113000","96.2","94.2","85","9.1","2","3.7","1.2","2.5"
"16-20 years","99100","95.4","92.9","84.5","8.5","2.3","4.7","2.6","2.1"
"21-25 years","82000","93.3","91.5","82.8","8.7","1.8","6.7","5.4","1.3"
"more than 25 years","254500","71","68.8","54.3","14.4","2.3","29","27.9","1"
