"","january","february","march","april","may","june","july","august","september","october","november","december"
"","number of days","number of days","number of days","number of days","number of days","number of days","number of days","number of days","number of days","number of days","number of days","number of days"
"canada","3.7","3.7","3.6","3.6","3.5","3.3","3.4","3.4","3.3","3.4","3.5","3.8"
"newfoundland and labrador","3.7","4.1","4.5","3.8","3.4","2.8","2.8","2.8","2.9","3.3","3.4","4.0"
"prince edward island","5.4","6.4","4.8","4.1","4.3","3.5","3.6","3.5","3.3","3.6","4.6","5.6"
"nova scotia","4.0","4.1","3.7","3.8","3.5","3.1","3.1","3.1","3.0","3.3","3.7","4.2"
"new brunswick","4.3","4.3","3.3","3.5","3.3","2.8","2.7","2.7","2.7","3.0","3.1","3.7"
"quebec","3.6","3.6","3.5","3.5","3.5","3.4","3.4","3.4","3.3","3.3","3.4","3.7"
"ontario","3.6","3.6","3.5","3.6","3.5","3.3","3.4","3.5","3.4","3.4","3.5","3.6"
"manitoba","4.2","4.0","4.0","3.8","3.9","3.7","3.9","4.0","3.9","3.8","3.8","4.0"
"saskatchewan","4.2","4.5","3.6","3.7","3.4","3.4","3.5","3.5","3.5","3.8","3.5","4.0"
"alberta","3.5","3.5","3.5","3.5","3.4","3.2","3.2","3.3","3.2","3.4","3.6","3.8"
"british columbia","4.0","4.0","3.8","3.6","3.5","3.3","3.4","3.4","3.4","3.6","3.7","4.0"
"yukon","3.6","4.3","4.5","3.5","4.2","3.1","3.2","3.1","3.4","4.2","4.3","4.6"
"northwest territories","3.5","3.3","3.5","3.7","3.8","3.7","3.4","3.6","3.0","3.0","3.7","3.4"
"nunavut","6.2","2.3","6.9","4.8","4.3","5.2","3.5","5.4","4.5","3.5","3.6","4.8"
