"","all families","lowest quintile","second quintile","middle quintile","fourth quintile","highest quintile"
"","2016 dollars","2016 dollars","2016 dollars","2016 dollars","2016 dollars","2016 dollars"
"survey reference year: 1999","","","","","",""
"montreal","91,600","2,400","43,400","103,200","149,800","417,000"
"toronto","165,300","6,900","60,800","148,700","236,900","540,100"
"vancouver","151,100","9,700","31,100","147,900","257,200","531,200"
"canada","144,500","7,900","71,700","145,700","219,900","446,700"
"survey reference year: 2016","","","","","",""
"montreal","170,000","5,200","86,700","240,300","221,000","822,600"
"toronto","365,100","9,000","123,000","257,000","702,300","1,184,700"
"vancouver","434,400","19,300","135,000","507,500","629,100","1,695,000"
"canada","295,100","11,000","156,300","304,100","459,900","1,034,800"
