"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"livingston","2007-08","scottish first division","1","0","0","0","0","0","-","-","0","0","1","0"
"livingston","2008-09","scottish first division","12","1","0","0","0","0","-","-","0","0","12","1"
"livingston","2009-10","scottish third division","32","14","3","2","1","0","-","-","1","0","37","16"
"livingston","total","total","45","15","3","2","1","0","-","-","1","0","50","17"
"middlesbrough","2010-11","championship","12","1","0","0","1","0","-","-","13","1","none","none"
"middlesbrough","2011-12","championship","1","0","0","0","0","0","-","-","1","0","none","none"
"middlesbrough","2012-13","championship","19","0","2","1","3","0","-","-","24","1","none","none"
"middlesbrough","2013-14","championship","4","0","0","0","0","0","-","-","4","0","none","none"
"middlesbrough","2014-15","championship","0","0","0","0","0","0","-","-","0","0","none","none"
"middlesbrough","total","total","36","1","2","1","4","0","-","-","42","2","none","none"
"walsall","2011-12","league one","7","0","1","0","0","0","-","-","0","0","8","0"
"blackpool","2013-14","championship","18","1","0","0","0","0","-","-","18","1","none","none"
"bradford city","2014-15","league one","12","1","3","1","0","0","-","-","0","0","15","2"
"bradford city","2014-15","league one","13","0","4","1","0","0","-","-","0","0","17","1"
"rangers","2015-16","scottish championship","35","5","6","2","3","1","-","-","4","2","48","10"
"rangers","2016-17","scottish premiership","32","3","3","0","7","2","-","-","42","5","none","none"
"rangers","2017-18","scottish premiership","11","0","4","0","0","0","-","-","15","0","none","none"
"rangers","2018-19","scottish premiership","17","1","3","2","2","0","7","0","-","-","29","3"
"rangers","total","total","95","9","16","4","12","3","7","0","4","2","134","16"
"gabala","2017-18","azerbaijan premier league","3","0","1","0","","","4","0","-","-","8","0"
"career total","career total","career total","229","27","27","7","15","3","4","0","5","2","292","38"
