"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"villa san carlos","2007-08","primera c metropolitana","20","0","0","0","-","-","0","0","20","0"
"el porvenir","2008-09","primera c metropolitana","20","0","0","0","-","-","0","0","20","0"
"2 de mayo","2009","paraguayan primera division","9","0","0","0","-","-","0","0","9","0"
"defensa y justicia","2009-10","primera b nacional","9","0","0","0","-","-","0","0","9","0"
"defensa y justicia","2010-11","primera b nacional","35","0","0","0","-","-","0","0","35","0"
"defensa y justicia","2011-12","primera b nacional","37","1","0","0","-","-","0","0","37","1"
"defensa y justicia","total","total","81","1","0","0","-","-","0","0","81","1"
"union santa fe","2012-13","argentine primera division","16","0","0","0","-","-","0","0","16","0"
"velez sarsfield","2013-14","argentine primera division","0","0","0","0","-","-","0","0","0","0"
"douglas haig","2014","primera b nacional","16","0","1","0","-","-","0","0","17","0"
"douglas haig","2015","primera b nacional","39","0","1","0","-","-","0","0","40","0"
"douglas haig","total","total","55","0","2","0","-","-","0","0","57","0"
"juventud unida universitario","2016","primera b nacional","20","0","2","0","-","-","0","0","22","0"
"douglas haig","2016-17","primera b nacional","19","0","1","0","-","-","0","0","20","0"
"villa dalmine","2017-18","primera b nacional","24","0","0","0","-","-","1","0","25","0"
"mitre","2018-19","primera b nacional","10","0","0","0","-","-","0","0","10","0"
"career total","career total","career total","274","1","5","0","-","-","0","0","1","0"
