"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"kansas city wizards","2007","mls","0","0","0","0","0","0","0","0","0","0"
"bohemians","2008","league of ireland premier division","0","0","0","0","1","0","0","0","1","0"
"sporting fingal","2009","league of ireland first division","3","0","1","0","0","0","0","0","4","0"
"waterford united","2010","league of ireland first division","12","0","1","0","2","0","0","0","15","0"
"columbus crew","2011","mls","0","0","0","0","0","0","0","0","0","0"
"new york red bulls","2011","mls","1","0","0","0","0","0","0","0","1","0"
"philadelphia union","2012","mls","1","0","1","0","0","0","0","0","2","0"
"philadelphia union","2013","mls","0","0","0","0","0","0","0","0","0","0"
"philadelphia union","total","total","1","0","1","0","0","0","0","0","2","0"
"toronto","2013","mls","0","0","0","0","0","0","0","0","0","0"
"toronto","2014","mls","0","0","0","0","0","0","0","0","0","0"
"toronto","2015","mls","21","0","2","0","1","0","0","0","24","0"
"toronto fc ii","2015","usl","1","0","0","0","0","0","0","0","1","0"
"toronto","total","total","22","0","2","0","1","0","0","0","25","0"
"ross county","2015-2016","scottish premiership","0","0","0","0","0","0","0","0","0","0"
"portland timbers","2016","mls","0","0","0","0","0","0","0","0","0","0"
"fc edmonton","2017","nasl","9","0","0","0","0","0","0","0","9","0"
"cardiff city f.c","2017-2018","efl championship","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","48","0","5","0","4","0","0","0","57","0"
