"club","season","league","league","league","cup","cup","europe asia","europe asia","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stomil olsztyn","2002-03","i liga","3","0","0","0","-","-","3","0","none","none"
"wisła płock","2003-04","ekstraklasa","3","0","0","0","-","-","3","0","none","none"
"wisła płock","2004-05","ekstraklasa","11","1","7","3","-","-","18","4","none","none"
"wisła płock","2005-06","ekstraklasa","20","1","5","1","2","0","-","-","27","2"
"wisła płock","2006-07","ekstraklasa","3","0","0","0","-","-","31","0","6","0"
"wisła płock","2007-08","i liga","17","2","2","0","-","-","19","2","none","none"
"wisła płock","2008-09","i liga","18","5","2","3","-","-","20","8","none","none"
"wisła płock","total","total","72","9","16","7","2","0","3","0","93","16"
"zagłebie sosnowiec","2006-07","i liga","14","1","0","0","-","-","14","1","none","none"
"polonia warsaw","2008-09","ekstraklasa","12","2","4","0","-","-","21","1","18","3"
"polonia warsaw","2009-10","ekstraklasa","30","2","0","0","6","1","-","-","36","3"
"polonia warsaw","2010-11","ekstraklasa","27","7","4","1","-","-","31","8","none","none"
"polonia warsaw","total","total","69","11","8","1","6","1","2","1","85","14"
"trabzonspor","2011-12","super lig","33","0","2","0","8","0","-","-","43","0"
"trabzonspor","2012-13","super lig","21","5","8","8","0","0","-","-","29","13"
"trabzonspor","2013-14","super lig","27","4","1","0","12","3","-","-","40","7"
"trabzonspor","total","total","84","9","11","8","20","3","-","-","115","20"
"al-nassr","2014-15","saudi professional league","24","8","62","1","6","2","13","0","37","11"
"al-nassr","2015-16","saudi professional league","19","10","54","1","6","1","13","0","31","12"
"al-nassr","total","total","43","18","11","2","12","3","2","0","68","23"
"al-sharjah","2016-17","uae arabian gulf league","19","3","6","5","-","-","25","8","none","none"
"sydney fc","2017-18","a-league","25","13","3","1","6","1","-","-","34","15"
"changchun yatai","2018","chinese super league","19","3","0","0","-","-","19","3","none","none"
"career total","career total","career total","348","67","55","24","46","8","7","1","456","100"
