"type of sentence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence"
"type of sentence","possession","possession","possession","supply","supply","supply","total","total","total"
"type of sentence","number of cases","percent of guilty cases","median","number of cases","percent of guilty cases","median","number of cases","percent of guilty cases","median"
"guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody"
"cannabis","3,969","16","10","2,085","27","90","6,054","18","30"
"other drugs","8,129","36","15","8,462","55","180","16,591","44","45"
"cocaine","5,126","37","14","6,435","59","180","11,561","47","60"
"heroin","374","50","8","406","55","180","780","53","47"
"methamphetamines","602","49","15","240","65","365","842","53","30"
"ecstasy","110","22","14","90","35","180","200","26","30"
"other cdsa","1,917","30","20","1,291","44","90","3,208","34","30"
"total drug-related cases sentenced to custody","12,098","25","14","10,547","46","150","22,645","32","30"
"guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine"
"cannabis","13,051","52","250","1,216","16","1,000","14,267","43","300"
"other drugs","7,617","33","400","566","4","750","8,183","22","400"
"cocaine","4,731","34","450","303","3","700","5,034","20","500"
"heroin","105","14","400","9","1","775","114","8","400"
"methamphetamines","312","26","400","10","3","500","322","20","400"
"ecstasy","232","45","300","12","5","1,000","244","32","350"
"other cdsa","2,237","35","300","232","8","750","2,469","27","300"
"total drug-related cases sentenced to fine","20,668","43","300","1,782","8","1,000","22,450","32","300"
"guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation"
"cannabis","7,589","30","365","2,751","35","365","10,340","31","365"
"other drugs","8,659","38","365","4,389","29","365","13,048","34","365"
"cocaine","5,101","37","365","2,974","27","365","8,075","33","365"
"heroin","321","43","365","162","22","365","483","33","365"
"methamphetamines","422","35","365","82","22","365","504","32","365"
"ecstasy","175","34","360","79","31","365","254","33","365"
"other cdsa","2,640","41","365","1,092","37","365","3,732","40","365"
"total drug-related cases sentenced to probation","16,248","34","365","7,140","31","365","23,388","33","365"
