"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke","1893-94","first division","1","0","0","0","1","0"
"stoke","1894-95","first division","10","2","2","2","12","4"
"stoke","total","total","11","2","2","2","13","4"
"southampton","1895-96","southern league","18","0","5","1","23","1"
"southampton","1896-97","southern league","19","4","7","0","26","4"
"southampton","1897-98","southern league","22","2","9","1","31","3"
"southampton","1898-99","southern league","18","1","3","0","21","1"
"southampton","1899-1900","southern league","27","3","6","0","33","3"
"southampton","1900-01","southern league","28","2","1","0","29","2"
"southampton","1901-02","southern league","26","4","8","0","34","4"
"southampton","1902-03","southern league","24","1","1","0","25","1"
"southampton","1903-04","southern league","24","1","2","0","26","1"
"southampton","1904-05","southern league","18","0","0","0","18","0"
"southampton","1905-06","southern league","22","0","0","0","22","0"
"southampton","total","total","246","18","42","2","288","20"
"career total","career total","career total","257","20","44","4","301","24"
