"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"luton town","1998-99","second division","22","0","2","0","2","0","1","0","27","0"
"luton town","1999-2000","second division","17","0","1","0","2","0","0","0","20","0"
"luton town","total","total","39","0","3","0","4","0","1","0","47","0"
"hereford united","2000-01","football conference","27","2","0","0","-","-","3","0","30","2"
"yeovil town","2000-01","football conference","16","3","-","-","16","3","none","none","none","none"
"yeovil town","2001-02","football conference","35","7","1","0","-","-","8","2","44","9"
"yeovil town","2002-03","football conference","41","12","3","1","-","-","6","0","50","13"
"yeovil town","total","total","92","22","4","1","-","-","14","2","110","25"
"doncaster rovers","2003-04","third division","45","10","1","0","2","0","2","0","50","10"
"doncaster rovers","2004-05","league one","44","10","2","1","3","1","2","0","51","12"
"doncaster rovers","2005-06","league one","33","8","3","2","5","3","0","0","41","13"
"doncaster rovers","total","total","122","28","6","3","10","4","4","0","142","35"
"derby county","2005-06","championship","8","0","-","-","8","0","none","none","none","none"
"barnsley","2006-07","championship","18","4","-","-","2","1","-","-","20","5"
"wolverhampton wanderers","2006-07","championship","27","3","3","0","-","-","2","0","32","3"
"bristol city","2007-08","championship","45","6","0","0","1","0","3","1","49","7"
"bristol city","2008-09","championship","45","6","1","0","2","0","-","-","48","6"
"bristol city","total","total","90","12","1","0","3","0","3","1","97","13"
"coventry city","2009-10","championship","40","1","2","0","1","0","-","-","43","1"
"coventry city","2010-11","championship","6","0","0","0","1","0","-","-","7","0"
"coventry city","total","total","46","1","2","0","2","0","-","-","50","1"
"milton keynes dons","2010-11","league one","8","0","-","-","8","0","none","none","none","none"
"london elite","2013-14","mcfl division one central and east","8","8","0","0","-","-","4","0","12","8"
"clydebank","2018-19","sjfa west region premiership","8","0","1","0","-","-","0","0","9","0"
"stirling albion","2018-19","scottish league two","3","0","-","-","3","0","none","none","none","none"
"career total","career total","career total","496","80","20","4","21","5","31","3","568","92"
