"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"newcastle united","1957-58","first division","11","2","0","0","0","0","11","2"
"norwich city","1958-59","third division","33","11","11","2","0","0","44","13"
"norwich city","1959-60","third division","38","16","2","0","0","0","40","16"
"norwich city","1960-61","second division","31","9","4","1","0","0","35","10"
"norwich city","1961-62","second division","31","6","3","1","6","4","40","11"
"norwich city","1962-63","second division","28","13","5","1","3","2","36","16"
"norwich city","total","total","161","55","25","5","9","6","195","66"
"everton","1963-64","first division","7","1","0","0","0","0","7","1"
"port vale","1965-66","fourth division","20","1","4","2","0","0","24","3"
"port vale","1966-67","fourth division","36","6","3","1","0","0","39","7"
"port vale","1967-68","fourth division","7","1","0","0","2","0","9","1"
"port vale","total","total","68","8","7","3","2","0","77","11"
"career total","career total","career total","242","66","32","8","11","6","285","80"
