"census metropolitan area,","total violent victimization","total violent victimization","total household victimization","total household victimization","theft of personal property","theft of personal property"
"census metropolitan area,","number","rate","number","rate","number","rate"
"st. john's","12","73","10","121","16","97"
"halifax","46","129","23","129","36","100"
"saint john","8","72","5","103","f","f"
"quebec","f","f","33","97","38","58"
"sherbrooke","f","f","17","204","f","f"
"montreal","216","65","271","160","268","80"
"gatineau","f","f","22","168","f","f"
"ottawa-gatineau","83","77","66","126","117","107"
"ottawa","52","63","44","112","82","100"
"oshawa","f","f","34","265","f","f"
"toronto","423","83","268","118","308","61"
"hamilton","69","108","44","149","58","90"
"st. catharines-niagara","31","80","24","128","46","117"
"kitchener-cambridge-waterloo","f","f","21","106","f","f"
"london","f","f","32","164","34","86"
"windsor","f","f","19","170","f","f"
"winnipeg","78","118","78","253","71","108"
"regina","f","f","22","241","16","82"
"saskatoon","35","142","23","201","35","143"
"calgary","62","54","87","160","86","75"
"edmonton","87","81","93","187","80","74"
"kelowna","f","f","15","160","f","f"
"vancouver","140","65","191","191","156","73"
"victoria","f","f","24","145","f","f"
"all cmas","1,619","78","1,497","152","1,646","79"
"all cas","248","61","285","139","271","67"
"non cma/ca","378","81","247","108","237","51"
"total","2,245","76","2,029","143","2,154","73"
