"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"farnborough town","1996-97","conference","5","0","0","0","-","-","0","0","5","0"
"farnborough town","1997-98","conference","34","7","1","0","-","-","0","0","35","7"
"farnborough town","total","total","39","7","1","0","-","-","0","0","40","7"
"brentford","1998-99","third division","36","4","3","0","4","0","3","1","46","5"
"brentford","1999-00","second division","40","6","2","0","2","0","3","0","47","6"
"brentford","2000-01","second division","32","2","1","0","4","1","6","1","43","4"
"brentford","2001-02","second division","26","7","1","0","1","0","0","0","28","7"
"brentford","2002-03","second division","18","1","2","0","0","0","2","0","22","1"
"brentford","total","total","152","20","9","0","11","1","14","2","186","23"
"queens park rangers","2003-04","second division","42","10","1","0","2","2","3","1","48","12"
"queens park rangers","2004-05","championship","35","3","1","0","2","1","-","-","38","4"
"queens park rangers","2005-06","championship","14","2","1","0","0","0","-","-","15","2"
"queens park rangers","2006-07","championship","29","10","0","0","0","0","-","-","29","10"
"queens park rangers","2007-08","championship","44","6","1","0","1","1","-","-","46","7"
"queens park rangers","2008-09","championship","24","2","2","0","3","0","-","-","29","2"
"queens park rangers","2009-10","championship","6","0","0","0","1","0","-","-","7","0"
"queens park rangers","2010-11","championship","4","0","0","0","0","0","-","-","4","0"
"queens park rangers","2011-12","premier league","0","0","-","-","1","0","-","-","1","0"
"queens park rangers","total","total","198","33","6","0","10","4","0","0","214","37"
"millwall","2010-11","championship","1","0","-","-","1","0","none","none","none","none"
"wycombe wanderers","2011-12","league one","10","0","1","0","-","-","0","0","11","0"
"colchester united","2011-12","league one","9","2","-","-","9","2","none","none","none","none"
"leyton orient","2012-13","league one","33","4","4","0","1","0","2","0","40","4"
"aldershot town","2013-14","conference premier","36","2","2","0","-","-","4","0","42","2"
"career total","career total","career total","478","68","23","0","22","5","20","3","543","76"
