"","distribution","distribution","distribution","distribution"
"","businesses owned by immigrants","businesses owned by immigrants","businesses owned by non-immigrants","businesses owned by non-immigrants"
"","number","percent","number","percent"
"industry","","","",""
"unknown","19,590","13.6","40,590","6.3"
"agriculture, forestry, fishing and hunting","1,760","1.2","30,830","4.8"
"mining, quarrying, and oil and gas extraction","250","0.2","7,520","1.2"
"utilities","50","0.0","410","0.1"
"construction","10,560","7.3","90,190","14.0"
"manufacturing","5,650","3.9","34,510","5.4"
"wholesale trade","7,630","5.3","34,600","5.4"
"retail trade","16,200","11.2","61,520","9.6"
"transportation and warehousing","12,270","8.5","29,110","4.5"
"information and cultural industries","1,380","1.0","8,530","1.3"
"finance and insurance","2,100","1.5","20,940","3.3"
"real estate and rental and leasing","3,630","2.5","26,140","4.1"
"professional, scientific and technical services","20,630","14.3","88,430","13.8"
"management of companies and enterprises","820","0.6","10,700","1.7"
"administrative and support, waste management and remediation services","5,180","3.6","29,670","4.6"
"educational services","1,520","1.1","6,010","0.9"
"health care and social assistance","10,370","7.2","39,430","6.1"
"arts, entertainment and recreation","810","0.6","9,190","1.4"
"accommodation and food services","16,080","11.1","32,910","5.1"
"other services","7,800","5.4","41,440","6.4"
"public administration","40","0.0","170","0.0"
"all industries","144,350","100.0","642,840","100.0"
