"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","uk","aus","aut","fin","fra","ger","ire","nl","swe","swi","certifications","album"
"1992","house of love","10","5","7","1","8","6","16","21","1","15","aus: gold ger: gold swe: gold","walthamstow"
"1992","gold","28","101","-","3","-","-","-","-","2","35","none","walthamstow"
"1993","deep","5","7","13","13","30","14","7","31","6","32","uk: silver aus: gold","walthamstow"
"1993","slow it down","13","-","-","-","-","-","12","50","-","-","none","walthamstow"
"1993","west end girls","11","4","-","10","48","40","14","48","-","-","aus: gold","walthamstow"
"1993","it's alright","3","1","5","15","1","2","1","4","26","1","uk: silver aus: platinum fra: gold ger: platinum","walthamstow"
"1994","around the world","3","4","29","7","-","15","4","14","23","16","uk: silver aus: gold","steam"
"1994","steam","7","18","28","12","46","23","6","13","34","12","none","steam"
"1994","stay another day","1","3","2","15","7","4","1","5","1","2","uk: platinum aus: gold aut: gold ger: gold swe: gold swi: gold","steam"
"1995","stay another day","93","-","-","-","-","-","-","-","-","-","none","steam"
"1995","let it rain","10","12","-","10","21","26","5","16","33","25","none","steam"
"1995","hold my body tight","12","73","-","-","23","42","10","20","-","28","none","steam"
"1995","thunder","4","36","19","-","13","6","3","21","22","5","uk: silver ger: gold","up all night"
"1996","do u still?","7","54","-","-","-","23","8","-","-","22","none","up all night"
"1996","someone to love","16","-","-","-","-","47","16","-","42","27","none","up all night"
"1996","if you ever","2","-","-","-","19","31","4","38","5","20","uk: gold","around the world hit singles: the journey so far"
"1997","hey child","3","-","-","-","-","46","20","82","-","45","none","around the world hit singles: the journey so far"
"1998","each time","2","83","-","-","-","30","9","92","25","20","none","resurrection"
"1999","betcha can't wait","12","-","-","-","-","-","-","-","-","-","none","resurrection"
"2011","secret of my life","-","-","-","-","-","-","-","-","-","-","none","non-album single"
"2012","i can't get you off my mind","-","-","-","-","-","-","-","-","-","-","none","dark light"
"2012","friday night","-","-","-","-","-","-","-","-","-","-","none","dark light"
"2012","counting clouds","-","-","-","-","-","-","-","-","-","-","none","dark light"
""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory"
