"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1972-73","first division","1","0","0","0","0","0","1","0"
"stoke city","1973-74","first division","0","0","0","0","0","0","0","0"
"stoke city","1974-75","first division","5","0","0","0","1","0","6","0"
"stoke city","1975-76","first division","9","0","0","0","0","0","9","0"
"stoke city","total","total","15","0","0","0","1","0","16","0"
"crewe alexandra","1979-80","fourth division","30","0","1","0","2","0","33","0"
"crewe alexandra","1980-81","fourth division","46","0","1","0","2","0","49","0"
"crewe alexandra","1981-82","fourth division","46","2","2","0","2","0","50","2"
"crewe alexandra","total","total","122","2","4","0","6","0","132","2"
"career total","career total","career total","137","2","4","0","7","0","148","2"
