"performing sector and source of funds","2008","2010","2012","2013","2014","2015","2016a","2017b"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"all performing sectors","404773","406580","433619","453964","475418","493687","515305","542222"
"business","290680","278977","302251","322528","340728","355821","374685","397064"
"federal government","45649","50798","52144","51086","52687","52847","51140","51326"
"federal intramuralc","29839","31970","34017","33406","34783","34199","31715","31168"
"ffrdcs","15810","18828","18128","17680","17903","18649","19424","20159"
"nonfederal government","491","691","665","620","583","608","651","688"
"higher education","52054","58084","60896","61546","62346","64642","67813","70826"
"other nonprofit organizationsd","15898","18030","17664","18185","19075","19769","21017","22319"
"all funding sources","404773","406580","433619","453964","475418","493687","515305","542222"
"business","258016","248124","275717","297167","318382","333207","355545","378022"
"federal government","117615","126617","123838","120130","118364","119495","116120","117955"
"nonfederal government","4221","4302","4158","4244","4214","4280","4542","4748"
"higher education","11738","12262","14300","15378","16209","17320","18462","19511"
"other nonprofit organizationsd","13184","15275","15607","17045","18250","19386","20637","21986"
"constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions","constant 2012 $millions"
"all performing sectors","429311","423033","433619","446135","458544","471126","486437","502299"
"business","308301","290267","302251","316965","328634","339560","353695","367828"
"federal government","48416","52854","52144","50205","50817","50432","48275","47547"
"federal intramuralc","31648","33264","34017","32830","33549","32636","29939","28873"
"ffrdcs","16768","19590","18128","17375","17268","17796","18336","18674"
"nonfederal government","521","719","665","609","562","580","614","637"
"higher education","55210","60434","60896","60484","60133","61688","64014","65611"
"other nonprofit organizationsd","16862","18760","17664","17871","18398","18866","19840","20675"
"all funding sources","429311","423033","433619","446135","458544","471126","486437","502299"
"business","273657","258165","275717","292042","307081","317980","335627","350189"
"federal government","124745","131741","123838","118058","114163","114034","109615","109270"
"nonfederal government","4477","4476","4158","4171","4064","4084","4287","4399"
"higher education","12449","12758","14300","15112","15634","16528","17428","18074"
"other nonprofit organizationsd","13983","15893","15607","16751","17602","18500","19481","20367"
