"industry","naics","researchers/ total r&d employment","phd researchers/ researchers","research/ total r&d performed","development/ total r&d performed"
"all industries","21-33, 42-81","69.9","11.3","22.9","77.1"
"manufacturing industries","31-33","70.8","11.9","24.5","75.5"
"chemicals","325","68.2","25.4","35.2","64.8"
"pharmaceuticals and medicines","3254","69.1","25.9","35.6","64.4"
"machinery","333","70.5","7.3","17.4","82.6"
"computer and electronic products","334","81.4","10.7","16.5","83.5"
"electrical equipment, appliances, and components","335","71.4","10","21.8","78.2"
"transportation equipment","336","72.6","5.7","21.4","78.6"
"automobiles, bodies, trailers, and parts","3361-63","78.3","4.2","na","na"
"aerospace products and parts","3364","68.9","9.5","20.2","79.8"
"nonmanufacturing industries","21-23, 42-81","68.5","10","19.6","80.4"
"information","51","76.9","7","12.5","87.5"
"publishing","511","83.9","4.2","11.7","88.3"
"professional, scientific, and technical services","54","67.5","14.8","33.4","66.6"
"architectural, engineering, and related services","5413","73.9","17.6","51.4","48.6"
"computer systems design and related services","5415","77.2","11.3","26.8","73.2"
"scientific research and development services","5417","53.2","21.4","37.6","62.4"
