"relationship type","2016","2016","2016","2015r","2015r","2015r","average 2006 to 2015","average 2006 to 2015"
"relationship type","number of victims","percent","rate","number of victims","percent","rate","number of victims","percent"
"family relationship","134","33.2","0.37","170","35.2","0.47","150","32.9"
"spousal relationship","52","12.9","..","64","13.3","..","65","14.4"
"legal husband/wife","21","5.2","..","17","3.5","..","24","5.2"
"common-law husband/wife","22","5.4","..","28","5.8","..","27","5.8"
"separated or divorced husband/wife","2","0.5","..","3","0.6","..","8","1.6"
"separated common-law husband/wife","5","1.2","..","15","3.1","..","7","1.4"
"same-sex spouse","2","0.5","..","1","0.2","..","1","0.3"
"other family relationship","82","20.3","..","106","21.9","..","85","18.6"
"father or mother","17","4.2","..","27","5.6","..","26","5.8"
"son or daughter","33","8.2","..","28","5.8","..","24","5.4"
"sibling","10","2.5","..","12","2.5","..","10","2.1"
"extended family","22","5.4","..","39","8.1","..","24","5.3"
"intimate relationship","20","5.0","..","21","4.3","..","23","4.9"
"intimate partner relationship","72","17.8","0.24","85","17.4","0.28","88","19.2"
"acquaintance","158","39.1","0.44","169","35.0","0.47","162","35.5"
"close friend","29","7.2","..","36","7.5","..","33","7.2"
"neighbour","8","2.0","..","16","3.3","..","13","2.8"
"authority figure","9","2.2","..","1","0.2","..","3","0.5"
"business relationship","8","2.0","..","10","2.1","..","8","1.7"
"casual acquaintance","104","25.7","..","106","21.9","..","106","23.3"
"criminal relationship","34","8.4","0.09","58","12.0","0.16","46","10.1"
"stranger","58","14.4","0.16","65","13.5","0.18","75","16.5"
"unknown relationship","3","..","..","1","..","..","4",".."
"total solved homicides","407","100.0","..","484","100.0","..","460","100.0"
"unsolved homicides","204","..","..","125","..","..","118",".."
"total homicides","611","..","..","609","..","..","578",".."
