"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"roda jc kerkrade","2013-14","eredivisie","0","0","0","0","-","-","0","0","0","0"
"roda jc kerkrade","2014-15","eerste divisie","20","1","3","1","-","-","0","0","23","2"
"roda jc kerkrade","2015-16","eredivisie","2","0","0","0","-","-","0","0","2","0"
"roda jc kerkrade","total","total","22","1","3","1","-","-","0","0","25","2"
"rkc waalwijk","2015-16","eerste divisie","23","6","1","1","-","-","0","0","24","7"
"port vale","2016-17","efl league one","29","4","3","1","0","0","3","0","35","5"
"fk suduva","2017","a lyga","3","0","0","0","-","-","0","0","3","0"
"fk suduva","2018","a lyga","29","8","2","0","-","-","9","4","40","12"
"fk suduva","total","total","32","8","2","0","-","-","9","4","43","12"
"fc eindhoven","2018-19","eerste divisie","10","0","0","0","-","-","0","0","10","0"
"career total","career total","career total","116","19","9","3","0","0","12","4","137","26"
