"characteristics at cchs interview","characteristics at cchs interview","women","women","women","women","women","men","men","men","men","men"
"characteristics at cchs interview","characteristics at cchs interview","n","private dwelling","nursing home","seniors' residence","pdaf","n","private dwelling","nursing home","seniors' residence","pdaf"
"sample","n","46,399","40,180","1,272","1,009","3,938","35,012","31,408","512","346","2,746"
"sample","%","100.0","89.7","1.8","1.7","6.8","100","92.2","0.9","0.7","6.3"
"age group at census day","60 to 69, %","20,258","51.3","4.5","5.0","55.0","17,264","55.1","12.4","7.4","61.4"
"age group at census day","70 to 74, %","7,456","17.0","4.1","7.3","16.3","6,267","17.4","5.7","12.0","14.6"
"age group at census day","75 to 79, %","6,627","13.7","12.5","12.8","11.2","4,932","13.2","18.7","9.3","12.4"
"age group at census day","80 to 84, %","5,614","10.0","23.0","24.6","9.1","3,568","8.8","19.4","22.9","7.3"
"age group at census day","85 to 89, %","4,097","5.8","29.1","30.7","6.0","2,044","4.2","25.4","30.3","2.9"
"age group at census day","90 and older, %","2,347","2.2","26.8","19.7","2.5","937","1.3","18.4","18.1","1.5"
"marital status, cchs & census","remained married, %","19,229","57.5","12.8","12.1","39.2","23,654","80.2","40.4","42.4","60.0"
"marital status, cchs & census","loss of spouse, %","2,881","6.2","14.8","14.5","5.7","1,579","4.2","16.5","19.3","2.6"
"marital status, cchs & census","not married at cchs, %","24,269","36.3","72.4","73.5","55.1","9,758","15.6","43.1","38.3","37.4"
"living alone","living with others, %","24,726","74.2","44.5","33.4","43.9","25,916","88.1","63.4","68.1","57.0"
"living alone","living alone, %","21,673","25.8","55.5","66.6","56.1","9,096","11.9","36.6","31.9","43.0"
"dwelling owned by a household member","no, %","11,299","20.1","46.3","57.5","24.8","5,536","13.8","35.2","47.6","19.1"
"dwelling owned by a household member","yes, %","35,006","79.9","53.7","42.5","75.2","29,376","86.2","64.8","52.4","80.9"
"immigrant status","canadian-born, %","38,761","75.1","79.6","84.7","74.3","28,716","73.0","79.7","90.5","70.9"
"immigrant status","immigrant, %","7,570","24.9","20.4","15.3","25.7","6,227","27.0","20.3","9.5","29.1"
"province","atlantic provinces, %","7,901","8.0","10.3","4.0","8.3","5,807","8.3","9.4","3.3","6.8"
"province","quebec, %","9,603","25.5","19.5","43.5","23.2","7,367","25.4","23.2","52.2","23.0"
"province","ontario, %","14,065","38.4","37.7","24.4","39.6","10,480","38.4","40.4","20.9","36.4"
"province","manitoba, %","2,778","3.6","3.8","2.8","3.1","2,136","3.4","3.1","f","2.8"
"province","saskatchewan, %","3,054","3.0","5.0","1.6","2.8","2,229","3.0","5.4","f","3.3"
"province","alberta, %","3,390","8.2","9.7","13.8","7.2","2,629","8.4","7.8","13.1","8.7"
"province","british columbia, %","5,278","13.3","14.0","9.9","15.7","4,051","13.1","10.7","7.8","19.1"
"self-perceived general health","excellent","6,834","16.6","8.9","7.3","18.6","5,218","17.0","8.8","12.9","18.2"
"self-perceived general health","very good","15,369","33.4","17.5","25.2","31.1","10,989","32.1","17.0","21.0","31.6"
"self-perceived general health","good","15,017","32.1","33.3","34.6","32.2","11,741","33.2","35.0","32.9","31.8"
"self-perceived general health","fair","6,988","13.7","26.4","27.9","13.5","5,405","13.7","24.4","27.2","13.9"
"self-perceived general health","poor","2,131","4.3","13.9","4.9","4.6","1,612","4.0","14.8","6.0","4.5"
"year of interview","2005/2006, %","18,015","31.9","47.7","41.1","32.5","13,417","32.6","44.6","40.5","32.0"
"year of interview","2007, %","9,610","16.6","17.0","18.3","16.4","7,198","16.4","15.4","13.4","15.2"
"year of interview","2008, %","10,308","19.3","15.2","24.4","18.5","7,838","18.9","16.3","18.6","20.0"
"year of interview","2009, %","8,466","32.2","20.1","16.2","32.6","6,559","32.1","23.7","27.5","32.8"
