"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hercules","2004-05","segunda division b","6","0","0","0","-","-","6","0"
"valencia b","2006-07","segunda division b","34","1","-","-","2","0","36","1"
"salamanca","2007-08","segunda division","25","0","0","0","-","-","25","0"
"salamanca","2008-09","segunda division","31","0","2","0","-","-","33","0"
"salamanca","total","total","56","0","2","0","-","-","58","0"
"celta","2009-10","segunda division","28","0","5","0","-","-","33","0"
"celta","2010-11","segunda division","38","0","1","0","2","0","41","0"
"celta","2011-12","segunda division","24","0","2","0","-","-","26","0"
"celta","2012-13","la liga","7","0","2","1","-","-","9","1"
"celta","total","total","97","0","10","1","2","0","109","1"
"sporting gijon","2012-13","segunda division","16","0","0","0","-","-","16","0"
"sporting gijon","2013-14","segunda division","16","0","0","0","1","0","17","0"
"sporting gijon","total","total","32","0","0","0","1","0","33","0"
"mallorca","2014-15","segunda division","31","0","0","0","-","-","31","0"
"mumbai city","2015","indian super league","12","0","-","-","12","0","none","none"
"lorca","2016-17","segunda division b","36","1","0","0","4","0","40","1"
"lorca","2017-18","segunda division","17","0","0","0","-","-","17","0"
"lorca","total","total","53","1","0","0","4","0","57","1"
"ucam murcia","2017-18","segunda division b","13","0","0","0","-","-","13","0"
"career total","career total","career total","334","2","12","1","9","0","355","3"
