"team","from","to","record","record","record","record","record","record"
"team","from","to","g","w","d","l","win %","ref"
"rot-weiß erfurt","11 april 2003","30 june 2003","10","1","3","6","10.00","none"
"1. fc kaiserslautern ii","1 january 2007","9 september 2012","193","86","48","59","44.56","none"
"1. fc kaiserslautern","4 may 2009","30 june 2009","4","1","0","3","25.00","none"
"rot-weiß erfurt","10 september 2012","30 september 2013","30","10","9","11","33.33","none"
"sv sandhausen","1 july 2013","25 june 2016","108","35","30","43","32.41","none"
"1. fc nurnberg","25 june 2016","7 march 2017","25","8","6","11","32.00","none"
"karlsruher sc","29 august 2017","present","46","23","15","8","50.00","none"
"total","total","total","416","164","111","141","39.42","-"
