"","generational status","generational status","generational status"
"","first generation","second generation","third generation or more"
"","percent","percent","percent"
"political influence in the world","53","48","43"
"canada's achievement in arts and literature","53","53","50"
"canada's economic achievements","65","58","49"
"treatment of all groups in society","68","57","51"
"social security system","70","58","52"
"canada's achievements in sports","56","58","60"
"scientific and technological achievements","65","59","56"
"the way democracy works","70","61","54"
"canada's constitution","70","67","58"
"health care system","71","70","60"
"canada's armed forces","63","67","64"
"canadian history","69","72","69"
