"club","division","season","league1","league1","cup","cup","continental2","continental2","other3","other3","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oldham athletic","second division","2003-04","0","0","1","0","-","-","-","-","1","0"
"halifax town","conference premier","2003-04","3","0","-","-","-","-","-","-","3","0"
"hamilton academical","scottish first division","2004-05","8","0","1","0","-","-","-","-","9","0"
"sydney fc","a-league","2004-05","-","-","-","-","5","1","3","2","8","3"
"sydney fc","a-league","2005-06","24","6","-","-","-","-","6","1","30","7"
"sydney fc","a-league","2006-07","14","1","-","-","5","1","5","1","24","3"
"sheffield united","championship","2007-08","21","2","5","1","-","-","-","-","26","3"
"sheffield united","championship","2008-09","0","0","1","0","-","-","-","-","1","0"
"sheffield united","sheffield united total","sheffield united total","21","2","6","1","0","0","0","0","27","3"
"norwich city","championship","2008-09","9","0","0","0","-","-","-","-","9","0"
"twente","eredivisie","2009-10","8","0","2","0","3","0","-","-","13","0"
"twente","eredivisie","2010-11","3","0","1","0","0","0","-","-","4","0"
"twente","twente total","twente total","11","0","3","0","3","0","0","0","17","0"
"blackpool","premier league","2010-11","11","0","0","0","-","-","-","-","11","0"
"ad alcorcon","segunda division","2011-12","3","0","2","0","-","-","-","-","5","0"
"bunyodkor","uzbek league","2012","4","1","3","0","5","0","-","-","12","1"
"new york red bulls","mls","2013","9","0","2","0","-","-","-","-","11","0"
"newcastle jets","a-league","2013-14","7","0","-","-","-","-","-","-","7","0"
"newcastle jets","a-league","2014-15","15","0","0","0","-","-","-","-","15","0"
"newcastle jets","a-league","2015-16","15","3","1","1","-","-","-","-","16","1"
"newcastle jets","newcastle jets total","newcastle jets total","37","3","1","1","0","0","0","0","38","4"
"sydney fc","a-league","2015-16","8","2","-","-","5","1","0","0","13","3"
"sydney fc","a-league","2016-17","22","3","5","2","-","-","-","-","27","5"
"sydney fc","a-league","2017-18","26","4","5","2","4","0","-","-","35","6"
"sydney fc total","sydney fc total","sydney fc total","94","16","10","4","19","3","14","4","137","27"
"australia total","australia total","australia total","131","19","11","5","19","3","14","4","175","31"
"career total","career total","career total","210","22","29","6","27","3","14","4","280","35"
