"residence location","total","men","women","employment status","employment status","employment status","employment sector","employment sector","employment sector"
"residence location","total","men","women","employed","unemployeda","not in the labor forceb","educational institution","business or industry","government"
"worldwide","1103200","731100","372150","938250","19050","145900","428650","421350","88250"
"u.s. residing population","967500","629100","338400","815100","17100","135300","349200","390300","75600"
"new england","80150","51100","29050","69350","1500","9300","30050","36350","2950"
"middle atlantic","133050","83750","49300","114650","2100","16300","51200","58300","5150"
"east north central","118250","78200","40000","100250","1700","16250","51050","43450","5750"
"west north central","54600","35600","18950","46350","600","7650","25500","18400","2450"
"south atlantic","189550","119800","69700","157950","3200","28350","62850","63200","31900"
"east south central","32500","21600","10900","27200","550","4750","16700","7600","2900"
"west south central","76550","52600","23950","64700","1700","10200","31350","28800","4500"
"mountain","68000","45600","22400","54550","1050","12400","23550","24500","6450"
"pacific and u.s. territories","214900","140750","74100","180050","4700","30100","56900","109600","13550"
"non-u.s. residing population","135700","102000","33700","123150","1950","10600","79450","31050","12650"
"europec","25250","17100","8100","22950","400","1850","12450","7900","2600"
"asia","73400","57050","16350","68050","950","4400","47100","15100","5850"
"north americad","12350","8950","3400","10600","200","1600","6750","2950","900"
"central americae","4500","3700","800","4200","s","250","2550","1000","650"
"caribbean","750","350","400","700","d","s","350","200","150"
"south america","8750","6800","1950","7600","150","1000","4850","1500","1250"
"africa","5700","4550","1150","4950","100","600","2750","1450","800"
"oceania","4350","2950","1400","3600","100","700","2400","800","400"
