"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"australian institute of sport","2008","victorian premier league","13","1","0","0","0","0","13","1"
"sydney fc","2008-09","a-league","5","0","0","0","0","0","5","0"
"sydney fc","2009-10","a-league","9","0","0","0","0","0","9","0"
"sydney fc","2010-11","a-league","11","1","0","0","5","0","16","1"
"sydney fc","2011-12","a-league","22","0","0","0","0","0","22","0"
"sydney fc","2012-13","a-league","25","2","0","0","0","0","25","2"
"sydney fc","2013-14","a-league","3","0","0","0","0","0","3","0"
"sydney fc","2014-15","a-league","20","1","0","0","0","0","20","1"
"sydney fc","2015-16","a-league","24","0","2","1","7","1","33","2"
"sydney fc","2016-17","a-league","27","3","5","0","0","0","32","3"
"sydney fc","2017-18","a-league","0","0","0","0","0","0","0","0"
"sydney fc","2018-19","a-league","6","0","4","0","0","0","10","0"
"sydney fc total","sydney fc total","sydney fc total","152","7","11","1","12","1","175","9"
"career total","career total","career total","165","8","11","1","12","1","188","10"
