"","total","total","total","men","men","men","women","women","women"
"","mean %","95% confidence interval","95% confidence interval","mean %","95% confidence interval","95% confidence interval","mean %","95% confidence interval","95% confidence interval"
"","mean %","from","to","mean %","from","to","mean %","from","to"
"total","4.5","4.2","4.8","4.3","4.1","4.6","4.7","4.3","5.0"
"age group","","","","","","","","",""
"20 to 39","4.3","4.0","4.6","4.2","3.8","4.5","4.4","3.8","4.9"
"40 to 59","4.4","4.1","4.7","4.2","3.8","4.6","4.6","4.3","5.0"
"60 to 79","5.0","4.7","5.3","4.8","4.5","5.1","5.2","4.7","5.7"
"race","","","","","","","","",""
"white","4.3","4.1","4.5","4.2","3.9","4.4","4.4","4.1","4.7"
"asian","5.5","4.6","6.4","5.1","4.2","5.9","5.9","5.0","6.7"
"other","4.8","4.3","5.4","4.8","4.2","5.5","4.8","4.2","5.4"
"household income","","","","","","","","",""
"less than $70,000","4.4","4.2","4.6","4.3","4.1","4.6","4.5","4.2","4.7"
"$70,000 or more","4.6","4.1","5.1","4.3","3.9","4.8","4.8","4.3","5.4"
"education","","","","","","","","",""
"less than college diploma/university degree","4.3","4.0","4.6","4.2","3.8","4.7","4.3","4.1","4.6"
"college diploma/university degree","4.6","4.3","4.9","4.4","4.1","4.7","4.8","4.4","5.3"
"supplement use","","","","","","","","",""
"no","4.3","4.1","4.6","4.2","3.9","4.4","4.5","4.2","4.7"
"yes","6.0","5.5","6.5","5.6","5.3","5.9","6.5","5.7","7.3"
"fish consumption","","","","","","","","",""
"less than twice a week","4.3","4.1","4.6","4.3","4.0","4.6","4.3","4.1","4.6"
"at least twice a week","5.2","4.7","5.8","5.0","4.6","5.3","5.5","4.7","6.2"
"less than one serving of oily fish a week","4.8","4.5","5.0","4.7","4.4","5.0","4.8","4.5","5.2"
"at least one serving of oily fish a week","5.7","4.9","6.5","5.5","5.1","5.9","6.0","4.8","7.1"
"less than twice a week","4.5","4.2","4.7","4.4","4.1","4.7","4.5","4.3","4.8"
"at least twice a week","5.8","4.9","6.7","5.5","5.0","5.9","6.1","4.8","7.4"
"smoking status","","","","","","","","",""
"daily or occasional","3.7","3.4","4.0","3.6","3.3","4.0","3.7","3.3","4.2"
"non-smoker","4.7","4.4","5.0","4.6","4.3","4.8","4.9","4.5","5.2"
"obesity","","","","","","","","",""
"no","4.6","4.2","5.0","4.4","4.1","4.8","4.8","4.3","5.2"
"yes","4.2","4.0","4.4","4.1","3.9","4.3","4.3","4.0","4.6"
