"","all medium-sized firms","become large","remain medium-sized","become small"
"","percent","percent","percent","percent"
"productivity quartile in year t","","","",""
"first quartile","24.9","13.9","22.1","40.7"
"second quartile","25.0","16.7","25.4","24.3"
"third quartile","25.0","30.1","26.1","18.5"
"fourth quartile","25.1","39.3","26.5","16.5"
"productivity quartile in year t-5","","","",""
"first quartile","24.9","17.1","23.3","33.9"
"second quartile","25.0","15.9","25.1","25.6"
"third quartile","25.0","27.1","25.5","22.3"
"fourth quartile","25.1","39.9","26.1","18.2"
