"year","team","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing"
"year","team","cmp","att","pct","yds","td","int","rtg","att","yds","td"
"2010","chicago","65","102","63.7","767","14","2","112.66","8","9","2"
"2011","chicago","64","105","61.0","888","16","2","118.27","4","8","2"
"2011","kansas city","311","500","62.2","3,723","65","17","103.28","48","138","5"
"2012","iowa","413","618","66.8","4,870","93","10","121.49","37","110","8"
"2013","iowa","346","575","60.2","4,015","78","18","102.19","32","10","8"
"2014","los angeles","211","383","55.1","2,335","38","19","77.53","6","5","1"
"2014","iowa","101","163","62.0","1,320","22","1","118.65","37","111","9"
"2015","las vegas","178","325","54.8","1,986","35","9","88.57","32","19","6"
"career","career","1,689","2,771","61.0","19,904","361","78","103.65","204","410","41"
