"","eastern ontario","eastern ontario","northern ontario","northern ontario"
"","french-language workers","other workers","french-language workers","other workers"
"","percent","percent","percent","percent"
"sex","","","",""
"female","49.0","50.6","59.7","59.2"
"male","51.0","49.4","40.4","40.7"
"marital status","","","",""
"single","53.5","56.2","44.7","53.0"
"married","26.1","26.9","33.1","26.6"
"common-law","12.6","10.1","12.6","12.6"
"separated, divorced, or widowed","7.8","6.8","9.6","7.8"
