"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1960-61","third division","2","0","0","0","0","0","2","0"
"port vale","1961-62","third division","3","0","2","0","0","0","5","0"
"port vale","total","total","5","0","2","0","0","0","7","0"
"bournemouth & boscombe athletic","1962-63","third division","28","0","0","0","0","0","28","0"
"bournemouth & boscombe athletic","1963-64","third division","46","0","1","0","4","0","51","0"
"bournemouth & boscombe athletic","1964-65","third division","30","0","2","0","0","0","32","0"
"bournemouth & boscombe athletic","1965-66","third division","46","0","5","0","2","0","53","0"
"bournemouth & boscombe athletic","1966-67","third division","28","0","0","0","0","0","28","0"
"bournemouth & boscombe athletic","1967-68","third division","22","2","1","0","3","0","26","2"
"bournemouth & boscombe athletic","1968-69","third division","16","1","3","0","0","0","19","1"
"bournemouth & boscombe athletic","total","total","216","3","12","0","9","0","237","3"
"crewe alexandra","1968-69","third division","17","1","0","0","0","0","17","1"
"crewe alexandra","1969-70","fourth division","42","1","2","0","1","0","45","1"
"crewe alexandra","1970-71","fourth division","46","1","3","0","2","0","51","1"
"crewe alexandra","1971-72","fourth division","42","2","1","0","2","0","45","2"
"crewe alexandra","1972-73","fourth division","9","0","0","0","1","0","10","0"
"crewe alexandra","total","total","156","5","6","0","6","0","168","5"
"career total","career total","career total","377","8","20","0","15","0","412","8"
