"","non-university post-secondary graduates","non-university post-secondary graduates","university graduates","university graduates"
"","canada","united states","canada","united states"
"","proportion","proportion","proportion","proportion"
"general programs","0.084","0.095","0.011","0.025"
"teacher training and education science","0.034","0.045","0.148","0.125"
"humanities, languages and arts","0.063","0.040","0.126","0.141"
"social sciences, business and law","0.169","0.145","0.301","0.320"
"science, mathematics and computing","0.104","0.126","0.161","0.142"
"engineering, manufacturing and construction","0.245","0.143","0.125","0.080"
"agriculture and veterinary","0.021","0.017","0.014","0.012"
"health and welfare","0.147","0.254","0.106","0.121"
"services","0.134","0.134","0.008","0.034"
"","number","number","number","number"
"sample size","6,655","568","5,055","1,134"
