"club","division","season","league","league","cup","cup","continental","continental","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals"
"malmo ff","allsvenskan","2011","7","0","3","1","1","0","11","1"
"malmo ff","allsvenskan","2012","1","0","0","0","-","-","1","0"
"malmo ff","total","total","8","0","3","1","1","0","12","1"
"assyriska ff","superettan","2013","23","4","1","0","-","-","24","4"
"malmo ff","allsvenskan","2014","10","0","1","0","3","0","14","0"
"fredrikstad","obos-ligaen","2015","26","3","2","4","-","-","28","7"
"falkenbergs","allsvenskan","2016","23","2","3","1","-","-","26","3"
"falkenbergs","superettan","2017","16","1","1","0","-","-","17","1"
"falkenbergs","total","total","39","3","4","1","0","0","43","4"
"mariehamn","veikkausliiga","2018","24","3","0","0","-","-","24","3"
"career total","career total","career total","130","13","11","6","4","0","145","19"
