"type of offence","male","male","female","female"
"type of offence","number","percent","number","percent"
"violent offences","63,445","82","13,720","18"
"homicide","196","87.5","28","12.5"
"attempted murder","156","88","22","12"
"robbery","2,723","89","353","11"
"sexual assault","2,638","99","38","1"
"other sexual offences","2,966","97","106","3"
"major assault","13,359","78","3,802","22"
"common assault","24,054","78","6,977","22"
"uttering threats","12,793","88","1,686","12"
"criminal harassment","2,480","87","360","13"
"other violent offences","2,080","86","348","14"
"property offences","55,676","72","21,326","28"
"theft","22,247","65","12,059","35"
"break and enter","7,721","88","1,028","12"
"fraud","7,084","67","3,469","33"
"mischief","10,204","83","2,042","17"
"possess stolen property","7,266","74","2,567","26"
"other property offences","1,154","88","161","12"
"administration of justice offences","59,912","82","13,329","18"
"fail to appear","3,195","75","1,046","25"
"breach of probation","23,118","83","4,596","17"
"unlawfully at large","1,888","91","193","9"
"fail to comply with order","25,905","82","5,874","18"
"other administration of justice offences","5,806","78","1,620","22"
"other criminal code offences","11,684","86","1,861","14"
"weapons","7,317","90","792","10"
"prostitution","588","71","235","29"
"disturbing the peace","1,021","81","243","19"
"residual criminal code offences","2,758","82","591","18"
"criminal code","190,717","79","50,236","21"
"criminal code traffic offences","37,231","83","7,844","17"
"impaired driving","29,238","81","6,716","19"
"other criminal code traffic offences","7,993","88","1,128","12"
"total criminal code offences","227,948","80","58,080","20"
"other federal statute offences","37,195","85","6,548","15"
"drug possession","12,236","86","2,071","14"
"other drug offences","7,414","80","1,882","20"
"youth criminal justice act","720","81","166","19"
"residual federal statute offences","16,825","87","2,429","13"
"total offences","265,143","80","64,628","20"
