"","number of job vacancies","job vacancy rate","unemployment rate"
"","thousands","percent","percent"
"canada","392.5","2.7","6.9"
"newfoundland and labrador","2.4","1.9","13.0"
"prince edward island","1.1","3.2","12.0"
"nova scotia","5.5","1.9","7.3"
"new brunswick","5.7","3.1","8.8"
"quebec","105.2","3.1","8.6"
"ontario","122.6","2.0","6.7"
"manitoba","10.7","2.1","5.1"
"saskatchewan","10.3","3.3","4.3"
"alberta","82.4","4.6","4.5"
"british columbia","43.2","2.6","6.6"
"territories","3.5","10.8","8.9"
