"home care services","%","95% confidence interval","95% confidence interval"
"home care services","%","from","to"
"total","6.4","6.2","6.6"
"number of people in household receiving care","","",""
"one","5.9","5.7","6.1"
"two or more","0.5","0.4","0.5"
"type of home care service","","",""
"home health care (hhc) only","3.1","3.0","3.3"
"support only","2.1","1.9","2.2"
"both hhc and support","1.2","1.1","1.3"
"number of home care services received","","",""
"1","4.5","4.3","4.7"
"2","1.1","1.1","1.3"
"3 or more","0.7","0.7","0.8"
