"club","season","league","league","league","cup1","cup1","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico madrid","2007-08","la liga","10","2","1","0","-","-","11","2"
"atletico madrid","2008-09","la liga","8","0","3","0","1","0","12","0"
"atletico madrid","2009-10","la liga","12","0","3","0","7","0","22","0"
"atletico madrid","2010-11","la liga","0","0","2","0","3","0","5","0"
"total","total","total","30","2","9","0","11","0","50","2"
"malaga","2010-11","la liga","15","0","1","0","-","-","16","0"
"malaga","2011-12","la liga","13","1","1","0","-","-","14","1"
"malaga","2012-13","la liga","33","2","4","1","11","0","48","3"
"malaga","2013-14","la liga","33","5","1","0","-","-","34","5"
"malaga","2014-15","la liga","25","2","3","2","-","-","28","4"
"malaga","2015-16","la liga","23","2","1","0","-","-","24","2"
"malaga","2016-17","la liga","35","4","0","0","-","-","35","4"
"total","total","total","177","16","11","3","11","0","199","19"
"woflsburg","2017-18","bundesliga","11","0","4","1","0","0","15","1"
"woflsburg","2018-19","bundesliga","6","0","0","0","0","0","6","0"
"total","total","total","11","0","4","1","0","0","15","1"
"career total","career total","career total","218","18","24","4","22","0","264","22"
