"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions"
"year","team","g","gs","comb","total","ast","sack","ff","fr","yds","int","yds","avg","lng","td","pd"
"2008","stl","16","16","40","32","8","4.0","1","1","0","0","0","0","0","0","0"
"2009","stl","16","4","43","33","10","5.0","1","0","0","0","0","0","0","0","1"
"2010","stl","16","16","29","26","3","8.5","3","1","0","0","0","0","0","0","3"
"2011","stl","16","16","37","31","6","13.0","1","0","0","0","0","0","0","0","2"
"2012","stl","16","16","33","25","8","11.5","0","0","0","0","0","0","0","0","0"
"2013","stl","16","16","40","33","7","8.5","1","2","45","0","0","0","0","0","2"
"2014","stl","6","6","5","5","0","1.0","0","1","1","0","0","0","0","0","0"
"2015","stl","12","5","19","9","10","3.0","1","0","0","0","0","0","0","0","0"
"2016","ne","16","7","35","22","13","4.0","1","1","0","0","0","0","0","0","3"
"2017","phi","16","1","28","20","8","5.0","4","0","0","0","0","0","0","0","0"
"2018","phi","13","13","23","15","8","6.5","2","0","0","0","0","0","0","0","0"
"career","career","159","116","329","249","80","70","14","6","46","0","0","0","0","0","11"
