"","participation rate","participation rate","participation rate","participation rate","average time","average time","average time","average time"
"","men","men","women","women","men","men","women","women"
"","1986","2015","1986","2015","1986","2015","1986","2015"
"total, parents of children 17 years and under","percentage","percentage","percentage","percentage","minutes","minutes","minutes","minutes"
"paid work and looking for employment","69","64","36","47","485","502","380","430"
"unpaid household work, total","51","76","93","93","120","145","203","181"
"meal preparation","29","59","86","81","41","67","81","90"
"cleaning, laundry and other housework","22","33","83","65","62","84","128","108"
"outdoor work and repairs","18","19","5","7","163","167","95","107"
"other unpaid housework","10","18","14","29","65","64","57","62"
"child care","33","49","66","66","95","113","120","156"
"purchases and services","29","25","46","36","109","86","109","86"
"travelling and commuting","87","88","81","83","84","95","74","91"
