"type of offence","1999","1999","2004","2004","2009","2009"
"type of offence","number","percent reported","number","percent reported","number","percent reported"
"total non-spousal victimization","2,417","37","2,613","34","2,770","31"
"non-spousal violent victimization","603","31","687","33","777","29"
"sexual assault","f","f","42","8","f","f"
"robbery","105","46","127","46","158","43"
"physical assault","460","37","519","39","572","34"
"household victimization","1,181","44","1,188","37","1,160","36"
"break and enter","365","62","275","54","337","54"
"motor vehicle/parts theft","303","60","281","49","227","50"
"household property theft","240","32","330","29","250","23"
"vandalism","273","34","303","31","346","35"
"theft of personal property","633","35","738","31","833","28"
