"year","team","games","games","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles","fumbles"
"year","team","gp","gs","comb","total","ast","sack","pd","int","tds","yds","avg","lng","ff","fr","yds"
"2009","mia","14","1","23","19","4","5.5","1","0","0","0","0.0","0","1","0","0"
"2010","mia","16","16","57","48","9","14.0","4","0","0","0","0.0","0","3","0","0"
"2011","mia","16","14","42","37","5","8.5","3","0","0","0","0.0","0","0","0","0"
"2012","mia","16","16","53","38","15","15.0","1","0","0","0","0.0","0","3","0","0"
"2013","mia","15","15","42","37","5","8.5","0","0","0","0","0.0","0","2","1","0"
"2014","mia","16","16","38","32","6","11.5","3","0","0","0","0.0","0","3","1","0"
"2015","mia","7","7","9","7","2","7.0","1","0","0","0","0.0","0","4","0","0"
"2016","mia","16","11","29","22","7","11.5","2","1","0","12","12.0","12","5","0","0"
"2017","mia","16","16","36","28","10","10.5","0","0","0","0","0","0","0","0","0"
"2018","mia","14","14","36","21","15","6.0","1","0","0","0","0","0","1","0","0"
"total","total","146","126","360","279","81","98.0","16","1","0","12","12.0","12","22","2","0"
