"","first study permit obtained in","first study permit obtained in","first study permit obtained in"
"","1990 to 1994","1995 to 1999","2000 to 2004"
"","percentage","percentage","percentage"
"gender","","",""
"male","28","21","26"
"female","26","19","24"
"age at first study permit","","",""
"under 18","33","26","24"
"18 to 24","20","16","25"
"25 and over","30","24","28"
"level of study at first study permit","","",""
"primary and secondary","31","25","25"
"trade","25","10","13"
"postsecondary, other","23","17","26"
"bachelor","22","21","32"
"above bachelor","33","42","49"
"other","21","14","15"
"source country/region","","",""
"northern and western europe","14","13","16"
"southern and eastern europe","38","35","36"
"africa","38","46","55"
"china","61","57","47"
"india","47","53","55"
"japan","7","6","6"
"south korea","23","12","14"
"other asian countries","36","24","32"
"united states","20","16","16"
"other","24","17","17"
