"","job vacancies","unemployed population","job vacancy rate","unemployment rate","unemployed / job vacancies"
"","in thousands","in thousands","percent","percent","ratio"
"canada","390.1","1,327.6","2.5","7.1","3.4"
"newfoundland and labrador","4.2","34.2","2.0","13.6","8.2"
"prince edward island","1.4","8.2","2.3","11.1","5.8"
"nova scotia","9.4","40.1","2.4","8.7","4.3"
"new brunswick","6.8","36.8","2.3","10.1","5.4"
"quebec","61.8","322.8","1.8","7.6","5.2"
"ontario","159.9","489.2","2.7","6.8","3.1"
"manitoba","12.2","38.8","2.1","6.0","3.2"
"saskatchewan","11.2","33.8","2.4","5.8","3.0"
"alberta","54.0","173.0","2.7","7.3","3.2"
"british columbia","69.3","150.8","3.3","6.3","2.2"
