"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"st albans city","2009-10","conference south","13","1","1","0","-","-","1","0","15","1"
"luton town","2009-10","conference premier","0","0","0","0","-","-","0","0","0","0"
"luton town","2010-11","conference premier","9","0","4","0","-","-","6","0","19","0"
"luton town","2011-12","conference premier","10","0","0","0","-","-","0","0","10","0"
"luton town","total","total","19","0","4","0","-","-","6","0","29","0"
"st albans city","2009-10","conference south","6","0","0","0","-","-","0","0","6","0"
"southport","2011-12","conference premier","22","0","1","0","-","-","1","0","24","0"
"mansfield town","2012-13","conference premier","0","0","0","0","-","-","0","0","0","0"
"mansfield town","2013-14","league two","4","0","1","0","0","0","0","0","5","0"
"mansfield town","total","total","4","0","1","0","0","0","0","0","5","0"
"southport","2012-13","conference premier","32","0","1","0","-","-","3","0","36","0"
"alfreton town","2013-14","conference premier","2","0","0","0","-","-","0","0","2","0"
"afc telford utd","2014-15","conference premier","39","0","5","0","-","-","3","0","47","0"
"afc telford utd","total","total","39","0","5","0","-","-","3","0","47","0"
"woking","2015-16","national league","18","0","0","0","-","-","2","0","20","0"
"havant & waterlooville","2015-16","national league south","5","4","0","0","-","-","0","0","5","4"
"oxford city","2016-17","national league south","40","2","2","0","-","-","0","0","42","2"
"oxford city","2017-18","national league south","39","4","5","0","-","-","1","0","45","4"
"oxford city","total","total","79","6","7","0","-","-","1","0","87","6"
"career total","career total","career total","239","11","20","0","0","0","17","0","276","11"
