"","1941","1942","1943","1944","1945","1946"
"","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"er unemployment rate","","","","","",""
"men","","","","","",""
"low","37.5","32.9","30.8","32.4","29.3","32.3"
"moderate","41.1","37.0","34.1","37.7","31.2","33.1"
"high","48.5","45.4","41.3","29.3","35.1","34.5"
"women","","","","","",""
"low","53.3","51.7","43.9","46.2","44.3","42.9"
"moderate","60.8","59.3","50.4","50.6","48.3","45.8"
"high","74.5","73.6","63.6","59.7","56.9","51.6"
