"type of offence","yukon","yukon","northwest territories","northwest territories","nunavut","nunavut","all territories","all territories","all territories","all territories"
"type of offence","not reported","reported","not reported","reported","not reported","reported","not reported","reported","not reported","reported"
"type of offence","2014","2014","2014","2014","2014","2014","2009","2009","2014","2014"
"type of offence","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"total victimization","63","36","63","36","65","34","66","30","64","36"
"violent victimization incidents","","","","","","","","","",""
"sexual assault","f","f","f","f","f","f","f","f","90","f"
"robbery","f","f","f","f","f","f","f","f","f","f"
"physical assault","f","f","f","f","60","40","54","39","50","50"
"total","f","45","52","47","66","33","62","31","58","42"
"household victimization incidents","","","","","","","","","",""
"break and enter","f","f","f","f","41","59","62","31","46","54"
"motor vehicle/parts theft","f","f","f","f","f","f","f","f","65","f"
"theft of household property","73","f","82","f","84","f","81","18","79","20"
"vandalism","f","f","f","f","f","f","57","42","46","53"
"total","60","39","65","35","58","42","68","30","61","38"
"theft of personal property","72","f","72","f","76","f","72","27","73","27"
