"","female","female rank","male","male rank"
"","percent","number","percent","number"
"proportion with an apprenticeship certificate","100","..","100",".."
"personal and culinary services","38","1","4","5"
"health professions and related programs","23","2","1","8"
"business, management, marketing and related support services","19","3","2","7"
"family and consumer sciences/human sciences","4","4","0","16"
"mechanic and repair technologies/technicians","2","5","29","2"
"construction trades","2","6","34","1"
"precision production","1","7","16","3"
"engineering technologies and engineering-related fields","1","8","5","4"
"agriculture, agriculture operations and related sciences","1","9","1","9"
"visual and performing arts","1","10","1","14"
"% represented by top 10 female fields of study","94","..","92",".."
