"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"nottingham forest","1923-24","first division","7","2","0","0","0","0","7","2"
"nottingham forest","1924-25","first division","9","0","0","0","0","0","9","0"
"nottingham forest","1925-26","second division","3","1","0","0","0","0","3","1"
"nottingham forest","total","total","19","3","0","0","0","0","19","3"
"southport","1926-27","third division north","30","14","2","0","0","0","32","14"
"southport","1927-28","third division north","24","13","4","2","0","0","28","15"
"southport","total","total","54","27","6","2","0","0","60","29"
"wolverhampton wanderers","1927-28","second division","11","3","0","0","0","0","11","3"
"wolverhampton wanderers","1928-29","second division","17","3","1","0","0","0","18","3"
"wolverhampton wanderers","1929-30","second division","24","7","1","0","0","0","25","7"
"wolverhampton wanderers","total","total","52","13","2","0","0","0","54","13"
"port vale","1929-30","third division north","4","1","0","0","0","0","4","1"
"port vale","1930-31","second division","24","2","0","0","0","0","24","2"
"port vale","1931-32","second division","27","4","2","0","0","0","29","4"
"port vale","total","total","55","7","2","0","0","0","57","7"
"tottenham hotspur","1931-32","second division","1","0","0","0","0","0","1","0"
"rochdale","1935-36","third division north","31","9","0","0","0","0","31","9"
"rochdale","1936-37","third division north","34","7","1","0","0","0","35","7"
"rochdale","1937-38","third division north","30","6","1","0","1","0","32","6"
"rochdale","total","total","95","22","2","0","1","0","98","22"
"career total","career total","career total","276","72","12","2","1","0","289","74"
