"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oldham athletic","1987-88","second division","31","1","1","0","1","0","1","0","34","1"
"oldham athletic","1988-89","second division","9","0","0","0","1","0","1","0","11","0"
"oldham athletic","total","total","40","1","1","0","2","0","2","0","45","1"
"preston north end","1989-90","third division","23","1","1","0","0","0","2","0","26","1"
"preston north end","1990-91","third division","35","1","1","0","2","0","6","0","44","1"
"preston north end","1991-92","third division","43","3","3","1","2","0","3","0","51","1"
"preston north end","1992-93","second division","35","2","2","0","2","0","2","0","41","2"
"preston north end","total","total","136","7","7","1","6","0","13","0","162","8"
"stockport county","1992-93","second division","10","0","0","0","0","0","2","0","12","0"
"stockport county","1993-94","second division","46","1","4","0","2","0","8","0","60","1"
"stockport county","1994-95","second division","43","2","1","0","4","0","2","0","50","2"
"stockport county","1995-96","second division","46","6","4","0","5","0","2","0","57","6"
"stockport county","1996-97","second division","46","2","4","1","11","1","5","0","66","4"
"stockport county","1997-98","first division","34","1","1","0","2","1","0","0","37","2"
"stockport county","1998-99","first division","46","1","2","0","2","0","0","0","50","1"
"stockport county","1999-2000","first division","46","1","1","0","4","0","0","0","51","1"
"stockport county","2000-01","first division","44","0","3","0","2","0","0","0","49","0"
"stockport county","2001-02","first division","26","2","0","0","2","0","0","0","28","2"
"stockport county","total","total","387","16","20","1","34","2","19","0","460","19"
"stoke city","2001-02","second division","13","0","0","0","0","0","0","0","13","0"
"stoke city","total","total","13","0","0","0","0","0","0","0","13","0"
"barnsley","2001-02","first division","7","0","0","0","0","0","0","0","7","0"
"barnsley","2002-03","first division","14","0","0","0","0","0","0","0","14","0"
"barnsley","total","total","21","0","0","0","0","0","0","0","21","0"
"blackpool","2002-03","second division","21","0","0","0","0","0","0","0","21","0"
"blackpool","2003-04","second division","30","1","3","0","1","0","7","0","41","1"
"blackpool","2004-05","league one","6","0","0","0","0","0","0","0","6","0"
"blackpool","total","total","57","1","3","0","1","0","7","0","68","1"
"career total","career total","career total","654","25","31","2","43","2","41","0","769","29"
