"characteristic","fy 2016","fy 2017","% change"
"all r&d and r&d plant expenditures","2362601","2517309","6.5"
"all r&d plant expenditures","25257","23022","-8.8"
"all r&d expenditures","2337344","2494287","6.7"
"source of funds","","",""
"federal government","510039","541249","6.1"
"state government and other nonfederal sources","1827305","1953038","6.9"
"performer","","",""
"intramurala","631131","669962","6.2"
"extramural","1706213","1824325","6.9"
"higher education institutions","890999","1039814","16.7"
"companies and individuals","483665","450127","-6.9"
"other","331549","334384","0.9"
"intramural by type of r&d","","",""
"basic research","89832","96395","7.3"
"applied research","527212","551993","4.7"
"experimental development","14087","21574","53.1"
"r&d project by government function","","",""
"agriculture","109441","115269","5.3"
"energy","368028","306999","-16.6"
"environment and natural resources","438565","479665","9.4"
"health","982392","1114112","13.4"
"transportation","264596","265470","0.3"
"otherb","174321","212772","22.1"
