"name","reign","reign","duration","duration"
"name","from","to","(days)","(years, days)"
"elizabeth ii","6 february 1952","present","24,512","67 years, 40 days"
"victoria","20 june 1837","22 january 1901","23,226","63 years, 216 days"
"george v","6 may 1910","20 january 1936","9,390","25 years, 259 days"
"george iii","1 january 1801","29 january 1820","6,967","19 years, 28 days"
"george vi","11 december 1936","6 february 1952","5,535","15 years, 57 days"
"george iv","29 january 1820","26 june 1830","3,801","10 years, 148 days"
"edward vii","22 january 1901","6 may 1910","3,391","9 years, 104 days"
"william iv","26 june 1830","20 june 1837","2,551","6 years, 359 days"
"edward viii","20 january 1936","11 december 1936","326","326 days"
