"indicator","heterosexual","heterosexual","heterosexual","gay or lesbian","gay or lesbian","gay or lesbian","bisexual","bisexual","bisexual","sexual orientation n.e.c","sexual orientation n.e.c","sexual orientation n.e.c","total sexual minority","total sexual minority","total sexual minority"
"indicator","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"indicator","percent","from","to","percent","from","to","percent","from","to","percent","from","to","percent","from","to"
"self-rated mental health","","","","","","","","","","","","","","",""
"positive","88.9","88.3","89.4","80.3","75.5","84.4","58.9","52.4","65.2","54.6","37.4","70.9","67.8","63.6","71.7"
"negative","10.7","10.2","11.2","19.7","15.6","24.4","40.9","34.7","47.4","45.4","29.1","62.6","32.1","28.2","36.3"
"ever seriously contemplated suicide","14.9","14.3","15.5","29.9","25.1","35.1","46.3","39.8","52.8","58.7","42.1","73.5","40.1","36.1","44.3"
"diagnosed mood or anxiety disorder","16.4","15.8","17.0","29.6","24.7","35.0","50.8","44.4","57.2","40.9","25.8","58.0","41.1","36.9","45.3"
"mood disorder","9.5","9.1","10.0","20.6","16.4","25.4","36.2","30.0","42.9","31.1","18.0","48.1","29.1","25.3","33.3"
"anxiety disorder","12.5","12.0","13.1","23.4","18.8","28.8","41.6","35.5","47.9","30.4","18.5","45.8","33.1","29.2","37.2"
