"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico tucuman","2014","primera b nacional","20","1","0","0","-","-","0","0","20","1","none","none"
"atletico tucuman","2015","primera b nacional","18","1","0","0","-","-","0","0","18","1","none","none"
"atletico tucuman","2016","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"atletico tucuman","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"atletico tucuman","2017-18","primera division","16","0","2","0","-","-","2","0","0","0","20","0"
"atletico tucuman","total","total","54","2","2","0","-","-","2","0","0","0","58","2"
"almagro","2016-17","primera b nacional","38","3","2","0","-","-","0","0","40","3","none","none"
"san martin","2018-19","primera division","1","0","1","0","-","-","0","0","2","0","none","none"
"career total","career total","career total","93","5","5","0","-","-","2","0","0","0","100","5"
