"visible minority group","total","canadian-born","immigrant"
"visible minority group","percentage","percentage","percentage"
"visible minority","68.6","79.4","67.3"
"south asian","65.6","80.2","64.0"
"chinese","70.0","83.1","68.5"
"black","70.1","75.6","69.3"
"filipino","84.0","82.3","82.7"
"latin american","66.7","75.0","67.9"
"arab","51.5","72.8","50.8"
"southeast asian","69.2","81.0","68.0"
"west asian","54.7","75.5","54.8"
"korean","56.1","78.2","58.2"
"japanese","68.4","82.5","63.1"
"other visible minority","71.3","76.9","70.4"
"multiple visible minorities","72.5","77.6","71.5"
"not a visible minority","78.8","79.2","75.4"
