"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1966-67","third division","3","0","0","0","0","0","3","0"
"walsall","1967-68","third division","4","0","0","0","0","0","4","0"
"walsall","1968-69","third division","4","0","0","0","1","0","5","0"
"walsall","1969-70","third division","1","0","0","0","0","0","1","0"
"walsall","total","total","12","0","0","0","1","0","13","0"
"port vale","1970-71","third division","42","1","1","0","0","0","43","1"
"port vale","1971-72","third division","46","0","4","0","1","0","51","0"
"port vale","1972-73","third division","35","0","3","0","2","0","40","0"
"port vale","1973-74","third division","11","0","0","0","1","0","12","0"
"port vale","1974-75","third division","2","0","0","0","0","0","2","0"
"port vale","total","total","136","1","8","0","4","0","148","1"
