"selected characteristic and company size","2016","2017"
"domestic r&d performancea","374685","400100"
"type of r&db","",""
"basic research","24644","24829"
"applied research","61020","62132"
"development","289021","313139"
"paid for by the companyc","317731","339036"
"basic research","19143","18732"
"applied research","48806","49149"
"development","249782","271155"
"paid for by others","56954","61065"
"basic research","5501","6097"
"applied research","12213","12984"
"development","39239","41984"
"source of funds","",""
"federal","23772","24277"
"otherd","33182","36788"
"size of company","",""
"micro companiese","",""
"5-9","1581","na"
"small companiesf","",""
"10-19","4958","3311"
"20-49","9662","9435"
"medium companies","",""
"50-99","9298","10141"
"100-249","14875","17216"
"large companies","",""
"250-499","13092","14103"
"500-999","14450","17871"
"1,000-4,999","63971","65112"
"5,000-9,999","40633","40198"
"10,000-24,999","65594","73485"
"25,000 or more","136571","149227"
