"organization or association type","women","women","men","men"
"organization or association type","visible minority","not a visible minority","visible minority","not a visible minority"
"organization or association type","percentage","percentage","percentage","percentage"
"union or professional organization","26","27","24","29"
"political party or group","3","4","4","5"
"sports or recreational organization","20","29","28","35"
"cultural, educational, or hobby organization","18","24","19","18"
"religious group","23","15","20","11"
"school or community group","21","20","17","14"
"service club","4","6","3","8"
"seniors group","4","9","2","5"
"youth organization","7","5","6","4"
"immigrant or ethnic association or club","8","2","8","2"
