"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","us","aus","aut","can","den","ger","nz","spa","swe","swi","uk","certifications"
"all i really want to do","released: october 16, 1965 label: imperial, liberty formats: lp, cd","16","-","-","-","-","-","-","-","-","-","7","none"
"the sonny side of cher","released: february, 1966 label: imperial, liberty formats: lp, cd","26","-","-","-","-","-","-","-","-","-","11","none"
"cher","released: october, 1966 label: imperial, liberty formats: lp, cd","59","-","-","-","-","-","-","-","-","-","-","none"
"with love, cher","released: november, 1967 label: imperial, liberty formats: lp, cd","47","-","-","-","-","-","-","-","-","-","-","none"
"backstage","released: july, 1968 label: imperial, liberty formats: lp, cd","-","-","-","-","-","-","-","-","-","-","-","none"
"3614 jackson highway","released: june 20, 1969 label: atco, rhino formats: lp, cd","160","-","-","-","-","-","-","-","-","-","-","none"
"gypsys, tramps & thieves","released: september, 1971 label: kapp, mca, universal formats: lp, cassette, cd","16","43","-","14","-","-","-","-","-","-","-","us: gold"
"foxy lady","released: july 10, 1972 label: kapp, mca formats: lp, cassette, cd","43","-","-","39","-","-","-","-","-","-","-","none"
"bittersweet white light","released: april, 1973 label: mca formats: lp, cassette, cd","140","-","-","-","-","-","-","-","-","-","-","none"
"half-breed","released: september, 1973 label: mca formats: lp, cassette, cd","28","65","-","21","-","-","-","-","-","-","-","us: gold"
"dark lady","released: may, 1974 label: mca formats: lp, cassette, cd","69","86","-","33","-","-","-","-","-","-","-","none"
"stars","released: april 19, 1975 label: warner bros. formats: lp, cassette","153","100","-","-","-","-","-","-","-","-","-","none"
"i'd rather believe in you","released: october, 1976 label: warner bros. formats: lp, cassette","-","-","-","-","-","-","-","-","-","-","-","none"
"cherished","released: september, 1977 label: warner bros. formats: lp, cassette","-","-","-","-","-","-","-","-","-","-","-","none"
"take me home","released: january 25, 1979 label: casablanca, philips formats: lp, cassette, cd","25","-","-","24","-","-","-","-","-","-","-","us: gold"
"prisoner","released: october 22, 1979 label: casablanca formats: lp, cassette, cd","-","-","-","-","-","-","-","-","-","-","-","none"
"i paralyze","released: may 28, 1982 label: columbia formats: lp, cassette, cd","-","-","-","-","-","-","-","-","-","-","-","none"
"cher","released: november 10, 1987 label: geffen formats: lp, cassette, cd","32","32","-","39","-","-","-","-","44","-","26","us: platinum aus: gold uk: gold"
"heart of stone","released: june 19, 1989 label: geffen formats: lp, cassette, cd","10","1","15","17","-","19","7","-","19","-","7","us: 3× platinum aus: 4× platinum can: 4× platinum nz: platinum swe: gold uk: platinum"
"love hurts","released: june 18, 1991 label: geffen formats: lp, cassette, cd","48","15","1","29","3","6","4","-","4","3","1","us: gold aus: platinum aut: platinum can: platinum ger: platinum nz: platinum swe: platinum swi: platinum uk: 3× platinum"
"it's a man's world","released: november 6, 1995 label: wea, reprise formats: lp, cassette, cd","64","-","8","46","-","74","-","-","18","-","10","uk: gold"
"believe","released: november 10, 1998 label: wea, warner bros. formats: lp, cassette, cd, md","4","13","1","1","1","1","1","2","2","2","7","us: 4× platinum aus: 2× platinum aut: platinum can: 6× platinum den: 7× platinum ger: 2× platinum nz: 2× platinum spa: 4× platinum swe: 3× platinum swi: 2× platinum uk: 2× platinum"
"not.com.mercial","released: november 8, 2000 label: artistdirect formats: cd, digital download","-","-","-","-","-","-","-","-","-","-","-","none"
"living proof","released: november 19, 2001 label: wea, warner bros. formats: cd, cassette, digital download","9","68","19","64","38","13","26","17","29","16","46","us: gold den: gold ger: gold spa: platinum swe: gold swi: gold uk: gold"
"closer to the truth","released: september 24, 2013 label: warner bros. formats: cd, digital download, lp","3","17","11","4","26","6","-","32","45","11","4","can: gold uk: silver"
"dancing queen","released: september 28, 2018 label: warner bros. formats: cd, digital download, lp","3","2","4","2","-","5","2","2","7","6","2","can: gold uk: silver"
""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released",""-" denotes items that did not chart or were not released"
